imbalance_ratio,overlap,dataset,rows,samples_per_hypersphere,total_hypersheres,average_distance_between_classes,samples_per_hypersphere_minority,samples_per_hypersphere_majority,hypershpere_count_minority,hypershpere_count_majority,silhouette_score,davies_bouldin_score,calinski_harabaz_score,cohesion_score,separation_score,rmsstd_score,rs_score,xb_score,adjusted_random_score,adjusted_mutual_info_score,fowlkes_mallows_score,normalized_mutual_info_score,complexity,weighted_complexity,dual_weighted_complexity,tomeklink_complexity,number_of_classes,number_of_rows,number_of_columns,accuracy,balanced_accuracy,recall,precision,f1,geometric_mean,roc_auc,pr_auc,cwa,learner,resampler,ideal_hyperparameters
0.108433734939759,0.0,glass-0-4_vs_5,92,11.5,8,1.7579185924774157,0.375,0.625,3,5,0.5276662221410139,1.2032743823506915,34.32372479031104,347.0943722943723,132.37301900997545,0.6546079519329054,0.2760834655509454,0.3578116097888899,0.1059058061300772,0.0085626540912274,0.7957104253006503,0.0252223750946428,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,92,10,0.9565217391304348,0.8630952380952381,0.75,0.75,0.75,0.8556534679079242,0.863095238095238,0.7608695652173914,0.7696687370600415,dt,none,{}
0.108433734939759,0.0,glass-0-4_vs_5,92,9.2,10,1.1989578808281798,0.4,0.6,4,6,0.698738781719456,0.2901256708714366,27.941202877865024,365.8777777777778,113.58961352656996,0.6720870183387556,0.2369079015312382,0.0685005819617468,-0.0327354103638873,-0.0102468106334813,0.8828865097834234,0.0106539006443304,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2,92,10,0.9565217391304348,0.8630952380952381,0.75,0.75,0.75,0.8556534679079242,0.863095238095238,0.7608695652173914,0.7696687370600415,dt,randomoversampler,{}
0.1184210526315789,0.0,Glass,214,1.927927927927928,111,2.6910869075267394,0.045045045045045,0.3873873873873873,5,43,0.3851659177475931,0.8814507796295491,98.08819462876048,373.64788248251045,881.0203418165548,0.4467641747296373,0.7021938746466198,1.158356330691363,0.1820688452930493,0.3074670888465374,0.3858411177194751,0.3352437472965901,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,6,214,10,0.4859813084112149,0.4142578668894459,0.4859813084112149,0.5396157840083075,0.4089141936968024,0.3489205915734737,-1.0,-1.0,0.480523144398127,dt,none,{}
0.1184210526315789,0.0,Glass,214,2.351648351648352,91,2.6940535177323697,0.0439560439560439,0.3626373626373626,4,33,0.340069798843342,0.9360053014987548,82.48934231968586,420.617896389325,834.0503279097403,0.474013762686823,0.6647576719938788,0.9437327862260484,0.1714944053352416,0.3159053860407368,0.412662093439374,0.3439874305952897,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,6,214,10,0.5233644859813084,0.5366193260930104,0.5233644859813084,0.5628838451268358,0.5047798606622137,0.493814700693678,-1.0,-1.0,0.4376033085063648,dt,randomoversampler,{}
0.3660130718954248,0.0002545358824014,machine_cpu,209,6.333333333333333,33,1.0,0.3939393939393939,0.6060606060606061,13,20,0.6129428581659049,0.6744556401546198,279.81829762003787,13498898954.734455,18247531039.89712,3296.767918358171,0.5747900171131948,0.1623789349515629,0.521756538436799,0.3887969491834624,0.8004603711630915,0.3912385272298599,0.2321428571428571,0.1964285714285714,0.2142857142857142,0.1428571428571428,2,209,7,0.8952380952380953,0.814935064935065,0.6428571428571429,0.9473684210526316,0.7659574468085106,0.7965603233867873,0.8325602968460112,0.8553571428571428,0.9303957568339452,dt,none,{}
0.3660130718954248,0.0002545358824014,machine_cpu,209,6.147058823529412,34,1.0,0.4117647058823529,0.5882352941176471,14,20,0.6129428581659049,0.6744556401546198,279.81829762003787,13498898954.734455,18247531039.89712,3296.767918358171,0.5747900171131948,0.1623789349515629,0.521756538436799,0.3887969491834624,0.8004603711630915,0.3912385272298599,0.2321428571428571,0.1964285714285714,0.2142857142857142,0.1428571428571428,2,209,7,0.9047619047619048,0.8327922077922079,0.6785714285714286,0.95,0.7916666666666666,0.8183879352825013,0.8325602968460112,0.8553571428571428,0.9350980392156862,dt,randomoversampler,{}
0.6447368421052632,0.0,fruitfly,125,2.192982456140351,57,1.0,0.3859649122807017,0.6140350877192983,22,35,0.5754985796953439,0.553499257745713,253.47345979488605,12543.551948051949,25849.248051948056,5.049259775913537,0.6732837420544491,0.1195675477208737,-0.0030908915290254,-0.0043408380360697,0.5097792812704539,0.0016650343368475,0.6530612244897959,0.6122448979591837,0.6122448979591837,0.2857142857142857,2,125,5,0.5873015873015873,0.5484210526315789,0.36,0.4736842105263157,0.4090909090909091,0.5150370451673713,0.5689473684210528,0.5064457400184954,0.5382395382395381,dt,none,{}
0.6447368421052632,0.0,fruitfly,125,2.155172413793104,58,1.0,0.4310344827586206,0.5689655172413793,25,33,0.5754985796953439,0.553499257745713,253.47345979488605,12543.551948051949,25849.248051948056,5.049259775913537,0.6732837420544491,0.1195675477208737,-0.0030908915290254,-0.0043408380360697,0.5097792812704539,0.0016650343368475,0.6530612244897959,0.6122448979591837,0.6122448979591837,0.2857142857142857,2,125,5,0.5079365079365079,0.5236842105263158,0.6,0.4166666666666667,0.4918032786885246,0.5180936716768301,0.4794736842105263,0.4634035758292051,0.5011757789535567,dt,randomoversampler,{}
0.075,1.7754920685955165e-05,collins,1000,1.9880715705765408,503,12.45242737832614,0.0079522862823061,0.073558648111332,4,37,0.1163696466009121,1.9099169180672293,167.1159287564522,6045.361772423044,30204.13522757696,0.5727280848410145,0.8332290852912237,2.2127068942382944,0.224249124183091,0.4887144678733136,0.2568469561937868,0.5591366980184967,1.0,0.8333333333333334,0.8333333333333334,0.0,30,1000,20,0.994,0.988425925925926,0.994,0.9941944444444444,0.9882352941176472,0.987253736536257,-1.0,-1.0,0.9855358096595812,dt,none,{}
0.075,1.7754920685955165e-05,collins,1000,1.9646365422396856,509,12.448788313622714,0.0078585461689587,0.074656188605108,4,38,0.111417474645365,1.8709810890863925,166.42075428500044,6066.388447600217,30183.108552399783,0.5737232373699197,0.8326490310306867,1.6108096775728458,0.2119391259541332,0.4888517341663848,0.2451958280956456,0.5581264346334511,1.0,0.8333333333333334,0.8333333333333334,0.0,30,1000,20,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,dt,randomoversampler,{}
