iter	MultiClass
0	1.725162212
1	1.628120014
2	1.5296503
3	1.454402511
4	1.369669573
5	1.314267616
6	1.253004321
7	1.184380187
8	1.136981471
9	1.098823268
10	1.05765469
11	1.030870164
12	0.989138502
13	0.9465966632
14	0.9059615448
15	0.8736748087
16	0.8391800514
17	0.8160303676
18	0.790548234
19	0.7676589825
20	0.7468755805
21	0.7229535563
22	0.7004249978
23	0.6751985365
24	0.6578829093
25	0.6449911936
26	0.6293347526
27	0.6148060717
28	0.5936590885
29	0.57500486
30	0.5588910728
31	0.5458710355
32	0.5308439784
33	0.5181352187
34	0.501969402
35	0.48986492
36	0.4786853572
37	0.4661457171
38	0.4535389078
39	0.4438034155
40	0.435636139
41	0.4259645086
42	0.4162116303
43	0.4070345732
44	0.3982550849
45	0.3891451709
46	0.379052753
47	0.3692207517
48	0.3613948088
49	0.3536197605
50	0.3455372737
51	0.3377955664
52	0.3285934244
53	0.3229069398
54	0.3158293814
55	0.3090274904
56	0.3030525227
57	0.2979077488
58	0.2936294288
59	0.288468459
60	0.2827922888
61	0.2783728604
62	0.2731872914
63	0.2689122365
64	0.2629647762
65	0.2587682985
66	0.2538465583
67	0.2491380449
68	0.2448369176
69	0.2396992824
70	0.2352905561
71	0.2313724469
72	0.2281823734
73	0.2239674183
74	0.221386577
75	0.2171284855
76	0.2133741546
77	0.2098874484
78	0.2066055969
79	0.2033817236
80	0.2005835433
81	0.197301061
82	0.194916398
83	0.1925448694
84	0.1896633114
85	0.1865884566
86	0.1845474592
87	0.181746882
88	0.1789754644
89	0.176512682
90	0.1744132348
91	0.1716947328
92	0.1689624977
93	0.1671836168
94	0.1652504317
95	0.1626106703
96	0.1600651008
97	0.1578317625
98	0.1553521481
99	0.1533063356
100	0.1517038165
101	0.1499760385
102	0.1480968218
103	0.1465287007
104	0.1443711554
105	0.1419507626
106	0.1401139468
107	0.1383516875
108	0.1369639544
109	0.1355188004
110	0.1342939917
111	0.1322415987
112	0.1306611436
113	0.129047531
114	0.1275765621
115	0.1260990951
116	0.1248344747
117	0.1233706598
118	0.1223287282
119	0.1210456468
120	0.119715349
121	0.1185187125
122	0.1170567886
123	0.1160469115
124	0.1149330549
125	0.1137059998
126	0.1123503367
127	0.1112096672
128	0.1099193379
129	0.108870992
130	0.1080320794
131	0.1072758228
132	0.106125138
133	0.1051344107
134	0.104260575
135	0.1033159501
136	0.1023294494
137	0.1014727976
138	0.1005840404
139	0.09955428926
140	0.09854336057
141	0.09770210368
142	0.0969678723
143	0.09593736328
144	0.09522627307
145	0.09460574481
146	0.09356297851
147	0.09251629518
148	0.0914145696
149	0.09072792643
150	0.09003736843
151	0.08931498355
152	0.08851287095
153	0.08796059281
154	0.08714581565
155	0.08642821729
156	0.08583699524
157	0.08522000915
158	0.08428074646
159	0.08345636723
160	0.08284763216
161	0.08220920709
162	0.08164762181
163	0.08101837128
164	0.08047191481
165	0.07967745666
166	0.07889721644
167	0.07839814274
168	0.07775217225
169	0.0771151162
170	0.07631245346
171	0.07567827473
172	0.07516387688
173	0.07457654972
174	0.07398691832
175	0.0734930246
176	0.0729547886
177	0.07236494641
178	0.07187046194
179	0.0711752872
180	0.0706150248
181	0.07014031886
182	0.06965961306
183	0.069198066
184	0.06866168309
185	0.06825748724
186	0.06782375828
187	0.0673921875
188	0.06690413496
189	0.06651064581
190	0.06607289997
191	0.06563957956
192	0.06526777339
193	0.06482483313
194	0.06441298887
195	0.06394510597
196	0.06351587961
197	0.06309526074
198	0.06263118314
199	0.06218687409
200	0.06180159082
201	0.06146859504
202	0.06100939243
203	0.06068466151
204	0.06028489106
205	0.05994872902
206	0.05964675625
207	0.05921358129
208	0.05887475512
209	0.05841934394
210	0.05811547265
211	0.05775747923
212	0.05739895856
213	0.05690278736
214	0.05642735129
215	0.0560590613
216	0.0556702615
217	0.05539020437
218	0.05502319904
219	0.05475741849
220	0.05439148014
221	0.05402648508
222	0.05363685398
223	0.05334697731
224	0.05302371049
225	0.05277397416
226	0.052479348
227	0.05219147506
228	0.05187202025
229	0.05166391944
230	0.05139479576
231	0.05118008589
232	0.05082717688
233	0.05059662342
234	0.05025115952
235	0.05002478139
236	0.04973028169
237	0.04950234147
238	0.04930538689
239	0.04905920995
240	0.04882945771
241	0.04863463555
242	0.04836245307
243	0.04812635156
244	0.04785438999
245	0.0476012501
246	0.04743229098
247	0.04718731208
248	0.04694776435
249	0.04670102271
250	0.04644150579
251	0.04626451666
252	0.04602418376
253	0.04586518293
254	0.04557710452
255	0.04527311112
256	0.04508301887
257	0.04480416781
258	0.04463028578
259	0.04446574022
260	0.04422654186
261	0.04401721599
262	0.04383930707
263	0.04360716596
264	0.04339112292
265	0.04316368052
266	0.04302045649
267	0.042790713
268	0.04248882437
269	0.0423206679
270	0.04210325861
271	0.04196757367
272	0.041793714
273	0.04151684579
274	0.04129621329
275	0.0411229886
276	0.04093698688
277	0.04068339975
278	0.04054816098
279	0.040286857
280	0.04012151276
281	0.03994483288
282	0.03977419196
283	0.03958712602
284	0.03943017101
285	0.03926893289
286	0.03912753115
287	0.03895700738
288	0.03877707183
289	0.03865890644
290	0.03851511897
291	0.03832286111
292	0.03817512086
293	0.03794166022
294	0.03782039275
295	0.0376192151
296	0.03743634957
297	0.03729640398
298	0.03713071952
299	0.03693487194
300	0.03677696041
301	0.03663807139
302	0.03647805975
303	0.03626389171
304	0.03613630024
305	0.03603616564
306	0.03588561048
307	0.03577672986
308	0.03561815353
309	0.0354609427
310	0.03533705843
311	0.03519748795
312	0.03504933067
313	0.0349427746
314	0.03483143021
315	0.03471895276
316	0.03460345226
317	0.03450424009
318	0.03438138148
319	0.03427255255
320	0.03413554009
321	0.03401528344
322	0.03388026182
323	0.03375608752
324	0.03363995581
325	0.0335056963
326	0.03336635593
327	0.03323555485
328	0.0330987189
329	0.03300204221
330	0.03288708845
331	0.03276571801
332	0.03262384754
333	0.03252328227
334	0.03243319367
335	0.03230786767
336	0.0321920263
337	0.03205802989
338	0.03189027903
339	0.03176922052
340	0.03167417363
341	0.03155122879
342	0.0314553056
343	0.03133229189
344	0.03124213166
345	0.03114275922
346	0.03102724306
347	0.03092851158
348	0.03084912512
349	0.0307751266
350	0.03067837173
351	0.03055958086
352	0.03040646938
353	0.03030865837
354	0.0302248572
355	0.03008120954
356	0.02997338653
357	0.02987693599
358	0.02978746894
359	0.02964166099
360	0.02951148239
361	0.02944044098
362	0.0293593679
363	0.02927442205
364	0.02919498492
365	0.02910455405
366	0.0289989053
367	0.0288959665
368	0.02879649624
369	0.02872505432
370	0.02863127261
371	0.02849608683
372	0.02836215055
373	0.02828680263
374	0.02818718035
375	0.02807230851
376	0.02794218693
377	0.02788285563
378	0.02780219069
379	0.02771276955
380	0.02760077757
381	0.02751457024
382	0.02744462231
383	0.02734549769
384	0.02725627005
385	0.02716649645
386	0.02709722275
387	0.02703369506
388	0.0269704734
389	0.02689746044
390	0.02681862203
391	0.02674110826
392	0.0266634442
393	0.02660431823
394	0.02653786879
395	0.02643470819
396	0.0263593554
397	0.02629409966
398	0.02623662638
399	0.02614371033
400	0.0260611246
401	0.02597683408
402	0.02589550196
403	0.02582470407
404	0.02576199105
405	0.02565708736
406	0.02557350338
407	0.02551454576
408	0.02543951638
409	0.02538101439
410	0.0253056653
411	0.02525415644
412	0.02517712996
413	0.02509717352
414	0.0250254874
415	0.02495223279
416	0.0248751998
417	0.02479029544
418	0.02470770752
419	0.02465113929
420	0.0245761367
421	0.02450438517
422	0.02443005202
423	0.02435301009
424	0.02428096952
425	0.02420587156
